code,name,r,g,b,type
#bbbac6,PLASCON P1-E2-3 — Plascon Colour Inspired,187,186,198,Лето
#827bb8,PLASCON P2-A1-2 — Plascon Colour Inspired,130,123,184,Лето
#9f98ca,PLASCON P2-A1-3 — Plascon Colour Inspired,159,152,202,Лето
#b8b1da,PLASCON P2-A1-4 — Plascon Colour Inspired,184,177,218,Лето
#cec9e5,PLASCON P2-A2-1 — Plascon Colour Inspired,206,201,229,Лето
#dad6e8,PLASCON P2-A2-2 — Plascon Colour Inspired,218,214,232,Лето
#e4e1e8,PLASCON P2-A2-3 — Plascon Colour Inspired,228,225,232,Лето
#7a74a1,PLASCON P2-B1-2 — Plascon Colour Inspired,122,116,161,Лето
#968eb9,PLASCON P2-B1-3 — Plascon Colour Inspired,150,142,185,Лето
#a6a1c5,PLASCON P2-B1-4 — Plascon Colour Inspired,166,161,197,Лето
#bdb7d4,PLASCON P2-B2-1 — Plascon Colour Inspired,189,183,212,Лето
#d1cde0,PLASCON P2-B2-2 — Plascon Colour Inspired,209,205,224,Лето
#e2dee9,PLASCON P2-B2-3 — Plascon Colour Inspired,226,222,233,Лето
#7f7995,PLASCON P2-C1-3 — Plascon Colour Inspired,127,121,149,Лето
#9591ab,PLASCON P2-C1-4 — Plascon Colour Inspired,149,145,171,Лето
#a6a4b9,PLASCON P2-C2-1 — Plascon Colour Inspired,166,164,185,Лето
#bcb8cb,PLASCON P2-C2-2 — Plascon Colour Inspired,188,184,203,Лето
#d3d1dd,PLASCON P2-C2-3 — Plascon Colour Inspired,211,209,221,Лето
#7a778a,PLASCON P2-D1-3 — Plascon Colour Inspired,122,119,138,Лето
#8d8a9b,PLASCON P2-D1-4 — Plascon Colour Inspired,141,138,155,Лето
#9e9cab,PLASCON P2-D2-1 — Plascon Colour Inspired,158,156,171,Лето
#b0aebd,PLASCON P2-D2-2 — Plascon Colour Inspired,176,174,189,Лето
#c9c5d3,PLASCON P2-D2-3 — Plascon Colour Inspired,201,197,211,Лето
#84838e,PLASCON P2-E1-4 — Plascon Colour Inspired,132,131,142,Лето
#9694a1,PLASCON P2-E2-1 — Plascon Colour Inspired,150,148,161,Лето
#a9a7b4,PLASCON P2-E2-2 — Plascon Colour Inspired,169,167,180,Лето
#bebcc9,PLASCON P2-E2-3 — Plascon Colour Inspired,190,188,201,Лето
#8b7ab3,PLASCON P3-A1-2 — Plascon Colour Inspired,139,122,179,Лето
#a899cb,PLASCON P3-A1-3 — Plascon Colour Inspired,168,153,203,Лето
#c1b3d9,PLASCON P3-A1-4 — Plascon Colour Inspired,193,179,217,Лето
#cfc5e3,PLASCON P3-A2-1 — Plascon Colour Inspired,207,197,227,Лето
#dfd7e7,PLASCON P3-A2-2 — Plascon Colour Inspired,223,215,231,Лето
#e5e1e8,PLASCON P3-A2-3 — Plascon Colour Inspired,229,225,232,Лето
#80749e,PLASCON P3-B1-2 — Plascon Colour Inspired,128,116,158,Лето
#9d90b7,PLASCON P3-B1-3 — Plascon Colour Inspired,157,144,183,Лето
#afa3c4,PLASCON P3-B1-4 — Plascon Colour Inspired,175,163,196,Лето
#c6bbd5,PLASCON P3-B2-1 — Plascon Colour Inspired,198,187,213,Лето
#d5cdde,PLASCON P3-B2-2 — Plascon Colour Inspired,213,205,222,Лето
#e2dde6,PLASCON P3-B2-3 — Plascon Colour Inspired,226,221,230,Лето
